Local Area Unemployment Statistics,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LAUMT171698000000004,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Area:,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",,,,,,,,,,,
Area Type:,Metropolitan areas,,,,,,,,,,,
State/Region/Division:,Illinois,,,,,,,,,,,
Years:,2001 to 2022,,,,,,,,,,,
,,,,,,,,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2004,Oct,4680627,4404966,275661,5.9
2004,Nov,4686048,4409703,276345,5.9
2004,Dec,4675072,4402643,272429,5.8
2005,Jan,4666088,4365230,300858,6.4
2005,Feb,4679424,4360444,318980,6.8
2005,Mar,4670226,4373684,296542,6.3
2005,Apr,4683331,4388293,295038,6.3
2005,May,4692458,4408886,283572,6.0
2005,Jun,4766367,4452847,313520,6.6
2005,Jul,4768629,4476958,291671,6.1
2005,Aug,4715497,4448897,266600,5.7
2005,Sep,4673520,4417566,255954,5.5
2005,Oct,4686912,4448244,238668,5.1
2005,Nov,4706280,4466394,239886,5.1
2005,Dec,4675121,4439404,235717,5.0
2006,Jan,4690026,4431572,258454,5.5
2006,Feb,4712761,4457601,255160,5.4
2006,Mar,4720335,4481863,238472,5.1
2006,Apr,4715763,4491599,224164,4.8
2006,May,4729208,4528539,200669,4.2
2006,Jun,4833486,4599158,234328,4.8
2006,Jul,4851259,4622685,228574,4.7
2006,Aug,4818459,4600215,218244,4.5
2006,Sep,4773836,4576509,197327,4.1
2006,Oct,4810466,4626653,183813,3.8
2006,Nov,4809837,4618526,191311,4.0
2006,Dec,4815841,4616475,199366,4.1
2007,Jan,4811382,4555023,256359,5.3
2007,Feb,4805564,4557694,247870,5.2
2007,Mar,4809955,4584141,225814,4.7
2007,Apr,4809317,4577341,231976,4.8
2007,May,4819207,4592733,226474,4.7
2007,Jun,4937635,4668442,269193,5.5
2007,Jul,4959495,4696220,263275,5.3
2007,Aug,4893345,4642835,250510,5.1
2007,Sep,4863447,4629797,233650,4.8
2007,Oct,4876121,4644286,231835,4.8
2007,Nov,4914040,4674669,239371,4.9
2007,Dec,4896862,4639291,257571,5.3
2008,Jan,4916897,4620256,296641,6.0
2008,Feb,4899459,4609514,289945,5.9
2008,Mar,4909636,4631181,278455,5.7
2008,Apr,4905613,4641296,264317,5.4
2008,May,4914093,4619829,294264,6.0
2008,Jun,4993452,4655574,337878,6.8
2008,Jul,4974201,4641413,332788,6.7
2008,Aug,4912921,4585541,327380,6.7
2008,Sep,4855195,4552017,303178,6.2
2008,Oct,4839685,4524434,315251,6.5
2008,Nov,4850495,4527091,323404,6.7
2008,Dec,4838662,4484975,353687,7.3
2009,Jan,4824162,4400024,424138,8.8
2009,Feb,4836101,4374284,461817,9.5
2009,Mar,4848341,4378332,470009,9.7
2009,Apr,4853775,4385966,467809,9.6
2009,May,4876287,4389510,486777,10.0
2009,Jun,4976377,4446653,529724,10.6
2009,Jul,4975669,4453846,521823,10.5
2009,Aug,4895215,4391793,503422,10.3
2009,Sep,4833570,4323709,509861,10.5
2009,Oct,4847403,4325084,522319,10.8
2009,Nov,4858357,4340717,517640,10.7
2009,Dec,4820384,4287349,533035,11.1
2010,Jan,4840200,4249080,591120,12.2
2010,Feb,4861835,4280335,581500,12.0
2010,Mar,4874833,4311509,563324,11.6
2010,Apr,4892109,4354225,537884,11.0
2010,May,4869732,4360578,509154,10.5
2010,Jun,4926086,4393878,532208,10.8
2010,Jul,4927663,4399913,527750,10.7
2010,Aug,4871817,4369340,502477,10.3
2010,Sep,4837694,4361334,476360,9.8
2010,Oct,4834153,4368029,466124,9.6
2010,Nov,4848798,4379095,469703,9.7
2010,Dec,4814267,4355353,458914,9.5
2011,Jan,4774792,4278183,496609,10.4
2011,Feb,4786453,4300927,485526,10.1
2011,Mar,4803831,4328880,474951,9.9
2011,Apr,4799667,4335804,463863,9.7
2011,May,4813353,4342479,470874,9.8
2011,Jun,4914630,4393345,521285,10.6
2011,Jul,4892064,4374800,517264,10.6
2011,Aug,4882141,4374743,507398,10.4
2011,Sep,4854625,4368454,486171,10.0
2011,Oct,4858330,4378031,480299,9.9
2011,Nov,4853123,4399268,453855,9.4
2011,Dec,4853314,4400132,453182,9.3
2012,Jan,4832537,4353011,479526,9.9
2012,Feb,4856974,4386809,470165,9.7
2012,Mar,4857927,4404827,453100,9.3
2012,Apr,4848479,4417598,430881,8.9
2012,May,4877059,4447271,429788,8.8
2012,Jun,4976556,4498669,477887,9.6
2012,Jul,4968781,4491972,476809,9.6
2012,Aug,4910701,4456606,454095,9.2
2012,Sep,4902426,4483343,419083,8.5
2012,Oct,4920702,4491274,429428,8.7
2012,Nov,4884380,4469488,414892,8.5
2012,Dec,4908610,4467621,440989,9.0
2013,Jan,4896299,4396449,499850,10.2
2013,Feb,4903104,4412681,490423,10.0
2013,Mar,4885833,4429048,456785,9.3
2013,Apr,4875855,4442608,433247,8.9
2013,May,4924187,4482993,441194,9.0
2013,Jun,5023919,4532196,491723,9.8
2013,Jul,4997917,4526919,470998,9.4
2013,Aug,4941941,4496682,445259,9.0
2013,Sep,4896892,4479440,417452,8.5
2013,Oct,4874859,4454779,420080,8.6
2013,Nov,4878481,4478212,400269,8.2
2013,Dec,4865349,4465981,399368,8.2
2014,Jan,4862413,4433409,429004,8.8
2014,Feb,4885120,4452554,432566,8.9
2014,Mar,4909344,4506709,402635,8.2
2014,Apr,4848112,4498556,349556,7.2
2014,May,4875931,4528826,347105,7.1
2014,Jun,4956986,4593717,363269,7.3
2014,Jul,4965618,4605041,360577,7.3
2014,Aug,4907916,4568159,339757,6.9
2014,Sep,4862326,4551639,310687,6.4
2014,Oct,4897974,4591184,306790,6.3
2014,Nov,4881291,4584068,297223,6.1
2014,Dec,4859724,4573374,286350,5.9
2015,Jan,4856773,4520128,336645,6.9
2015,Feb,4861780,4538250,323530,6.7
2015,Mar,4856810,4555549,301261,6.2
2015,Apr,4860551,4578090,282461,5.8
2015,May,4888135,4599751,288384,5.9
2015,Jun,4961367,4651940,309427,6.2
2015,Jul,4952410,4650219,302191,6.1
2015,Aug,4901360,4622187,279173,5.7
2015,Sep,4842984,4588634,254350,5.3
2015,Oct,4887276,4620411,266865,5.5
2015,Nov,4895397,4618756,276641,5.7
2015,Dec,4912573,4626057,286516,5.8
2016,Jan,4913921,4585430,328491,6.7
2016,Feb,4953917,4627625,326292,6.6
2016,Mar,4978282,4660814,317468,6.4
2016,Apr,4948952,4648461,300491,6.1
2016,May,4924044,4655730,268314,5.4
2016,Jun,5012017,4707274,304743,6.1
2016,Jul,5011799,4720747,291052,5.8
2016,Aug,4926901,4647319,279582,5.7
2016,Sep,4899817,4629733,270084,5.5
2016,Oct,4901273,4632613,268660,5.5
2016,Nov,4894717,4648052,246665,5.0
2016,Dec,4873988,4622931,251057,5.2
2017,Jan,4943200,4658424,284776,5.8
2017,Feb,4942608,4678579,264029,5.3
2017,Mar,4952056,4716198,235858,4.8
2017,Apr,4918079,4693196,224883,4.6
2017,May,4953362,4731104,222258,4.5
2017,Jun,5045018,4783485,261533,5.2
2017,Jul,5045087,4789784,255303,5.1
2017,Aug,4987121,4728553,258568,5.2
2017,Sep,4971481,4741798,229683,4.6
2017,Oct,4968112,4743417,224695,4.5
2017,Nov,4983762,4764235,219527,4.4
2017,Dec,4957476,4738428,219048,4.4
2018,Jan,4923308,4672220,251088,5.1
2018,Feb,4977536,4733326,244210,4.9
2018,Mar,4961955,4750690,211265,4.3
2018,Apr,4919822,4738152,181670,3.7
2018,May,4933358,4754494,178864,3.6
2018,Jun,5035277,4807038,228239,4.5
2018,Jul,5052758,4837062,215696,4.3
2018,Aug,4975983,4771137,204846,4.1
2018,Sep,4942495,4757266,185229,3.7
2018,Oct,4980533,4788186,192347,3.9
2018,Nov,4984659,4806760,177899,3.6
2018,Dec,4974179,4774825,199354,4.0
2019,Jan,4982143,4727707,254436,5.1
2019,Feb,4993167,4759979,233188,4.7
2019,Mar,5001325,4781662,219663,4.4
2019,Apr,4965322,4774618,190704,3.8
2019,May,4942262,4768355,173907,3.5
2019,Jun,5044410,4838541,205869,4.1
2019,Jul,5051858,4847905,203953,4.0
2019,Aug,5006170,4818894,187276,3.7
2019,Sep,4956394,4789982,166412,3.4
2019,Oct,4970260,4804992,165268,3.3
2019,Nov,4967561,4811654,155907,3.1
2019,Dec,4955970,4794146,161824,3.3
2020,Jan,4943374,4742532,200842,4.1
2020,Feb,4991204,4787121,204083,4.1
2020,Mar,5003530,4708025,295505,5.9
2020,Apr,4892737,4017307,875430,17.9
2020,May,4789395,4086023,703372,14.7
2020,Jun,4885989,4245505,640484,13.1
2020,Jul,4861995,4267559,594436,12.2
2020,Aug,4787875,4302783,485092,10.1
2020,Sep,4756546,4316774,439772,9.2
2020,Oct,4750663,4380405,370258,7.8
2020,Nov,4766388,4403214,363174,7.6
2020,Dec,4732437,4370783,361654,7.6
2021,Jan,4702715,4334899,367816,7.8
2021,Feb,4733511,4384079,349432,7.4
2021,Mar,4747348,4423974,323374,6.8
2021,Apr,4765965,4447325,318640,6.7
2021,May,4769574,4460201,309373,6.5
2021,Jun,4876698,4507613,369085,7.6
2021,Jul,4873179,4538046,335133,6.9
2021,Aug,4819010,4518523,300487,6.2
2021,Sep,4790371,4546727,243644,5.1
2021,Oct,4835640,4599431,236209,4.9
2021,Nov,4862288,4654023,208265,4.3
2021,Dec,4872792,4673382,199410,4.1
2022,Jan,4908086,4658972,249114,5.1
2022,Feb,4926106,4684740,241366,4.9
2022,Mar,4938152,4714505,223647,4.5
2022,Apr,4891936,4690445,201491,4.1
2022,May,4908357,4700694,207663,4.2
2022,Jun,4970684,4733052,237632,4.8
2022,Jul,4956371,4719207,237164,4.8
2022,Aug,4947205,4706764,240441,4.9
2022,Sep,4888248,4670901,217347,4.4
2022,Oct,4890292,4679935,210357,4.3
2022,Nov,4912746,4696361,216385,4.4
2022,Dec,4892205(P),4685291(P),206914(P),4.2(P)
